index_col	content	data	like	place	tags	comment
0	"[겨울 왕국 실사판! 강원도 #인제 #원대리자작나무숲 ⛄❄]강원도에서 자작나무를 제일 많이 볼 수 있는 곳 이래!약 69만여 본의 자작나무가 관리되는 장소👍흰 눈이 내리는 겨울엔 역시 자작나무 숲이지>_<@눈내리는날_우리도_예쁜_사진남기고올까~?@⠀📍위치정보강원 인제군 인제읍 자작나무숲길 760 자작나무숲 안내소⠀*사진은 작년 겨울 원대리자작나무 숲에서 촬영해주신 사진 입니다:)⠀📢알려드립니다!현재 원대리 자작나무숲은 코로나이슈로 인해, 입산 통제가 되어 출입을 하지 못한다고 합니다. 소중한 걸음이 헛되지 않도록 방문 전 확인 부탁드립니다🙏⠀⠀⠀-⠀⠀💌@yunshine_2 님의 제보⠀⠀📢 지금은 사회적 거리두기 기간!여행시 방역수칙을 준수하고, 야외 활동시 마스크 착용은 필수!⠀#여행다녀왔습니다 로 남기는 우리들의 여행일기장⠀#여행다녀왔습니다_강원도 #강원도 #인제 #인제여행 #강원도인제 #강원도원대리 #인제자작나무숲 #원대리자작나무숲 #자작나무숲 #자작나무 #겨울 #겨울여행 #겨울여행지추천 #겨울데이트 #겨울여행지추천 #강원도핫플 #강원도가볼만한곳 #국내여행 #국내여행지 #국내여행지추천 #여행사진 #눈"	2020-12-07	"6,841"	강원도 인제 자작나무숲	"['#인제', '#원대리자작나무숲', '#여행다녀왔습니다', '#여행다녀왔습니다_강원도', '#강원도', '#인제', '#인제여행', '#강원도인제', '#강원도원대리', '#인제자작나무숲', '#원대리자작나무숲', '#자작나무숲', '#자작나무', '#겨울', '#겨울여행', '#겨울여행지추천', '#겨울데이트', '#겨울여행지추천', '#강원도핫플', '#강원도가볼만한곳', '#국내여행', '#국내여행지', '#국내여행지추천', '#여행사진', '#눈']"	 
1	애들이랑 다 같이 우정여행 다녀왔닷!!어디로갈까 고민하다가 강원도 쪽으로 GO!숙소 가는 길에 양떼목장이 있길래 거기도한번 들러봤슴!! 평상시엔 가려면 시간 맞추기어려우니까 이럴 때라도 한번 가봐야지!!근데 확실히 도시에서 벗어나니까 공기가남다르더란.. 사진을 대충 찍어도 너무잘 찍히고.. 자연광 짱!!@yangtte_ranch#우정여행 #강원도여행 #대관령양떼목장#청정지역 #양먹이주기 #강원도여행지추천#우정여행그램 #우정여행중 #국내여행지베스트10#국내여행지	2020-12-09	0		"['#우정여행', '#강원도여행', '#대관령양떼목장', '#청정지역', '#양먹이주기', '#강원도여행지추천', '#우정여행그램', '#우정여행중', '#국내여행지베스트10', '#국내여행지']"	 
2	"⠀찬바람부는 바깥 풍경을 바라보며 스파하는 맛❣#전주 #안노이에 정겨우면서도 이국적인느낌🧡⠀일상에 지쳤을 때, 힐링이 필요할 때,꼭 가면 좋을 전주 에어비앤비입니다 :)숙소 안을 가만 거니는 것 만으로도 충분한 휴식이 되어요🍃　-　🚨 현재 대한민국은 수도권 기준 [사회적 거리두기 2.5단계] 입니다. 여행 계획은 잠시 접어두시고 ""여행, 여기서 행복할 것""을 통해 대리 힐링하세요🥰⠀-⠀여행 기록은 #여기서행복할것 태그♥여행 제보는 DM 또는 이메일로♥⠀#여기서행복할것_전주#여기서행복할것_국내#behappyhere⠀-⠀#국내여행 #국내여행지 #국내여행지추천 #국내여행추천 #여행 #겨울여행 #여행스타그램 #인생샷 #인생샷스팟 #여행사진 #여행포즈 #힐링 #휴가 #전주여행 #전주여행지 #전주여행추천 #전주여행지추천 #전주갈만한곳 #전주핫플 #전주데이트 #전주데이트코스 #에어비앤비"	2020-12-09	"1,156"		"['#전주', '#안노이에', '#여기서행복할것', '#여기서행복할것_전주', '#여기서행복할것_국내', '#behappyhere⠀-⠀', '#국내여행', '#국내여행지', '#국내여행지추천', '#국내여행추천', '#여행', '#겨울여행', '#여행스타그램', '#인생샷', '#인생샷스팟', '#여행사진', '#여행포즈', '#힐링', '#휴가', '#전주여행', '#전주여행지', '#전주여행추천', '#전주여행지추천', '#전주갈만한곳', '#전주핫플', '#전주데이트', '#전주데이트코스', '#에어비앤비']"	 
3	🌺♥️	2020-12-08	"2,479"		[]	 
4	⠀🌊 오션뷰 + 히노끼탕 스파 ♨말만 들어도 감성 뿜뿜한 💕 #남해 #빌라드남해@@우리 안전하게 펜션에서 놀까? 😶⠀-⠀여행 기록은 #여기서행복할것 태그♥여행 제보는 DM 또는 이메일로♥⠀#여기서행복할것_남해#여기서행복할것_국내#behappyhere⠀-⠀#국내여행 #국내여행지 #국내여행지추천 #여행 #겨울여행 #여행스타그램 #여행샷 #여행사진 #여행포즈 #힐링 #휴가 #남해여행 #남해여행지 #남해여행추천 #남해여행지추천 #남해갈만한곳 #남해핫플 #남해데이트 #남해데이트코스 #남해숙소 #남해호텔 #남해스파 #히노끼탕 #남해온천	2020-12-01	"3,487"		"['#남해', '#빌라드남해@@우리', '#여기서행복할것', '#여기서행복할것_남해', '#여기서행복할것_국내', '#behappyhere⠀-⠀', '#국내여행', '#국내여행지', '#국내여행지추천', '#여행', '#겨울여행', '#여행스타그램', '#여행샷', '#여행사진', '#여행포즈', '#힐링', '#휴가', '#남해여행', '#남해여행지', '#남해여행추천', '#남해여행지추천', '#남해갈만한곳', '#남해핫플', '#남해데이트', '#남해데이트코스', '#남해숙소', '#남해호텔', '#남해스파', '#히노끼탕', '#남해온천']"	 
5	"일찍 어둠이 내리기 시작한 골짜기 끝, 동화 같은 풍경다른 이들에게 사유지와 별장 입구까지 개방할 수 있는 주인 분의 삶과 마음도 부러운데 풍경은 훔치고 싶을만큼 탐이 났다.#백패커 #차박 #여행그램 #여행기록 #여행중 #풍경스냅 #풍경스타그램 #풍경사진 #출사스타그램 #출사 #국내여행 #국내여행지 #국내여행추천 #니콘카메라 #올어바웃니콘 #니콘이미징코리아 #igworld_nature #ig_color #igtones #igshots #ig_landscape #lazyshutters #landscape_love #allaboutnikon #splendid_shotz #greatshotz"	2020-12-07	"1,206"		"['#백패커', '#차박', '#여행그램', '#여행기록', '#여행중', '#풍경스냅', '#풍경스타그램', '#풍경사진', '#출사스타그램', '#출사', '#국내여행', '#국내여행지', '#국내여행추천', '#니콘카메라', '#올어바웃니콘', '#니콘이미징코리아', '#igworld_nature', '#ig_color', '#igtones', '#igshots', '#ig_landscape', '#lazyshutters', '#landscape_love', '#allaboutnikon', '#splendid_shotz', '#greatshotz']"	 
6	"⠀✨반짝반짝✨ 연말 분위기 가득한등불멍 맛집 #부산 #감천문화마을 💡💌 @checkinbusan님의 #추억을_기록으로⠀지역에 거주하는 주민 4,500명과관광객1,500여명이 참여해 제작된총 6000개의 등불이 마을을밝게 비추는 ‘감천집 등 밝히기’가11월 13일 점등식을 가졌고약 한달 동안 운영된다고 합니다💛⠀반짝반짝한 거리를 그저걷기만해도 힐링이었어요 🎇⠀📍 주소부산 사하구 감내2로 203 감천문화마을안내센터⠀-⠀여행 기록은 #여기서행복할것 태그♥여행 제보는 DM 또는 이메일로♥⠀#여기서행복할것_부산#여기서행복할것_국내#behappyhere⠀-⠀#국내여행 #국내여행지 #국내여행지추천 #여행 #겨울여행 #여행스타그램 #여행샷 #여행사진 #여행포즈 #힐링 #휴가 #부산여행 #부산여행지 #부산여행추천 #부산여행지추천 #부산갈만한곳 #부산핫플 #부산데이트 #부산데이트코스 #연말여행 #야경"	2020-12-03	"4,025"		"['#부산', '#감천문화마을', '#추억을_기록으로⠀지역에', '#여기서행복할것', '#여기서행복할것_부산', '#여기서행복할것_국내', '#behappyhere⠀-⠀', '#국내여행', '#국내여행지', '#국내여행지추천', '#여행', '#겨울여행', '#여행스타그램', '#여행샷', '#여행사진', '#여행포즈', '#힐링', '#휴가', '#부산여행', '#부산여행지', '#부산여행추천', '#부산여행지추천', '#부산갈만한곳', '#부산핫플', '#부산데이트', '#부산데이트코스', '#연말여행', '#야경']"	 
7	"안동으로의 여행 후, 온전한 휴식을 취할 수 있는 한옥 <선성현 문화단지 한옥체험관>을 소개합니다.선성현 한옥체험관은 전통 문화를 이해하고 체험할 수 있는 공간으로, 다양한 체험 활동이 진행되고 있습니다.체험관 마당도 따로 마련되어 있어 안동식혜 만들기, 두부 체험, 한옥 음악회 등의 지속적인 체험과 공연이 진행되고 개발 되어지고 있답니다.다양한 전통한옥 체험도 해보고, 넓은 방과 아늑한 방에서 나를 위한 온전한 휴식시간을 가져보시는 것은 어떨까요?#하녹하녹#전통한옥 #대한민국구석구석 #안동숙소 #안동여행 #안동여행코스 #한옥마을 #전통체험 #한옥체험 #안동가볼만한곳 #국내여행지 #휴식여행 #힐링여행 #안동힐링여행 #감성여행자 #한옥사진 #한옥사진관 #여행사진그램 #사진맞팔 #사진맞팔환영 #감성사진그램 #한옥에빠지다 #좋반 #좋아요반사"	2020-12-09	4		"['#하녹하녹', '#전통한옥', '#대한민국구석구석', '#안동숙소', '#안동여행', '#안동여행코스', '#한옥마을', '#전통체험', '#한옥체험', '#안동가볼만한곳', '#국내여행지', '#휴식여행', '#힐링여행', '#안동힐링여행', '#감성여행자', '#한옥사진', '#한옥사진관', '#여행사진그램', '#사진맞팔', '#사진맞팔환영', '#감성사진그램', '#한옥에빠지다', '#좋반', '#좋아요반사']"	 
8	"헬스장에 운동 못가니까 죽을맛이다운동하고싶어서 찾아간 산이였는데 ,,생각보다 간월재는 운동량이 안나왔다근데 사진보니까 바다좋아하던 내가 산도 좀 좋은것같다또 사진찍기좋은 예쁜산 없을까요?추천 받습니댜✨"	2020-12-09	35		[]	 
9	힙이랑 대퇴이두 펌핑감..못 잊어..;;담에 기차바위타러 또 가야겠다 ㅋㅋ 집에 오니 아쉽네😇	2020-12-09	19	수락산정상	[]	 
